GEONAME,American Indian or Alaska Native Alone,American Indian or Alaska Native and Black or African American,American Indian or Alaska Native and White,Asian Alone,Asian and White,Black or African American Alone,Black or African American and White,Hispanic or Latino,Native Hawaiian or Other Pacific Islander Alone,Not Hispanic or Latino,Remainder of Two or More Race Responses,Total,White Alone,Error,state_custom_total,American_Indian_or_Alaska_Native_Alone_percentage,American_Indian_or_Alaska_Native_and_Black_or_African_American_percentage,American_Indian_or_Alaska_Native_and_White_percentage,Asian_Alone_percentage,Asian_and_White_percentage,Black_or_African_American_Alone_percentage,Black_or_African_American_and_White_percentage,Hispanic_or_Latino_percentage,Native_Hawaiian_or_Other_Pacific_Islander_Alone_percentage,Remainder_of_Two_or_More_Race_Responses_percentage,White_Alone_percentage
Alabama,18265,2900,20630,48885,6480,959250,7670,120850,1125,3627240,4325,3748090,2557705,0.029126320086880653,3748085,0.004873155224601363,0.0007737284506621381,0.005504144116262038,0.013042660451937456,0.0017288828828588465,0.2559306952750538,0.0020463783505443446,0.03224313215948944,0.0003001532782741053,0.0011539226031426716,0.6824031472071738
Alaska,69690,910,18805,34315,3725,17275,2545,32655,5865,519665,4145,552320,362390,0.10386183323252168,552320,0.1261768539976825,0.0016475955967555041,0.034047291425260716,0.062128838354577054,0.006744278679026651,0.03127715816917729,0.004607836037079953,0.05912333429895713,0.010618844148319815,0.00750470741599073,0.6561232618771726
Arizona,187725,3470,24660,168125,20105,206510,16510,1391950,9505,3795570,13560,5187520,3145400,0.017218273530908434,5187520,0.03618781228795263,0.0006689130837085929,0.004753716612176917,0.03240951360187527,0.0038756477083461845,0.03980900314601197,0.0031826383319967923,0.2683266763308864,0.0018322820924063907,0.0026139658256739253,0.6063398309789649
Arkansas,13260,1730,21275,32790,3375,331690,5065,130045,4290,2142180,2790,2272225,1725915,-0.04799014816675928,2272225,0.00583568968742092,0.0007613682623859873,0.009363069238301665,0.014430789204414176,0.0014853282575449174,0.145975860665207,0.002229092629471113,0.05723244837109001,0.0018880172518126507,0.0012278713595704652,0.759570465072781
California,110440,26900,131215,4465975,241820,1712615,99600,10374900,110530,19493225,141315,29868125,12452810,0.1262808755417384,29868120,0.0036975879298730553,0.0009006258177615465,0.004393145601397075,0.1495231370437778,0.008096257816025916,0.05733922992140115,0.003334659161674722,0.34735698128974973,0.003700601176103484,0.004731298789478548,0.41692647545275696
Colorado,22605,2950,23795,128030,19875,159610,14265,767530,5600,3417655,10935,4185185,3029985,0.07079257843649694,4185180,0.005401201382019411,0.0007048681299251168,0.00568553801748073,0.030591276838750067,0.004748899688902269,0.03813694990418572,0.003408455550298912,0.18339235110556773,0.001338054755112086,0.002612790847705475,0.7239796137800525
Connecticut,4040,3555,7835,123535,7620,269375,10935,378030,670,2453715,5950,2831745,2020205,0.010802260838741917,2831750,0.0014266796150790148,0.0012554074335658161,0.0027668402931049704,0.04362496689326388,0.0026909155116094288,0.09512668844354198,0.0038615697007151053,0.1334969541802772,0.00023660280745122276,0.0021011741855742915,0.713412200935817
Delaware,2445,1270,1905,28645,1680,151340,2895,54115,190,685565,1740,739680,493455,0.10221452532355668,739680,0.003305483452303699,0.001716958684836686,0.002575438027255029,0.0387262059268873,0.0022712524334847503,0.20460199004975124,0.003913854639844257,0.0731600151416829,0.00025686783473934674,0.0023523685918234913,0.6671195652173914
District of Columbia,1070,1115,785,23470,3410,248605,2270,53095,240,501240,1755,554335,218515,-0.34211428713428993,554330,0.001930258149477748,0.0020114372305305504,0.0014161239694766654,0.04233940071798387,0.006151570364223477,0.4484783432251547,0.004095033644219147,0.09578229574441217,0.0004329550989482799,0.0031659841610592967,0.3941965976945141
Florida,34290,8120,48635,439775,42550,2323925,46470,3775390,9350,12391475,36745,16166865,9401615,0.004100222001429621,16166865,0.0021210049072593854,0.0005022618794676642,0.003008313609348504,0.027202243601341384,0.002631926474304078,0.1437461746603315,0.0028743977264608814,0.23352641343884545,0.0005783434203229878,0.0022728587144137096,0.5815360615679045
Georgia,15170,8315,22485,302405,18710,2325305,25605,598535,3590,7103895,18020,7702430,4364290,-0.07301833467921509,7702430,0.001969508323996453,0.001079529447200429,0.0029192086133856456,0.039260986467906885,0.002429103542648229,0.3018923898042566,0.003324275585756703,0.07770729497054825,0.00046608667654233794,0.002339521423758476,0.566612095144
Hawaii,1630,1000,6145,453130,39330,19665,2625,90330,96655,1023745,129460,1114075,274100,0.28099204135225764,1114070,0.0014631037547012306,0.0008976096654608777,0.005515811394257094,0.4067338677102875,0.03530298814257632,0.01765149407128816,0.002356225371834804,0.08108108108108109,0.08675846221512114,0.11620454729056523,0.24603480930282656
Idaho,13495,135,8785,17350,4730,6915,2065,123485,1540,1099280,2425,1222765,1041840,0.166454706117043,1222765,0.011036462443723855,0.00011040551536885665,0.007184536685299301,0.014189153271478985,0.003868282131071792,0.005655215842782546,0.0016887954758273258,0.10098833381720936,0.0012594406938373278,0.0019832101834776103,0.8520361639399231
Illinois,12435,6470,25945,537195,32165,1356680,30130,1440050,2545,8455480,14985,9895530,6436935,0.006625097878095065,9895535,0.0012566273576921309,0.0006538302375768465,0.002621889569386597,0.05428660501933448,0.0032504558874280167,0.13710021742129153,0.0030448075824096423,0.14552522930796566,0.00025718670087064517,0.0015143193369534845,0.650488831579091
Indiana,10075,2160,19580,106360,9825,435755,21085,273500,1510,4763065,6210,5036565,4150505,0.0802695730086389,5036565,0.002000371284794299,0.0004288637196184304,0.003887570199133735,0.02111756723084086,0.0019507342802088329,0.08651829173255979,0.004186384966738243,0.05430288301650033,0.00029980750769621756,0.0012329831939029874,0.8240745428680063
Iowa,6830,995,7295,54265,4920,70685,7700,107065,1670,2282335,2165,2389400,2125805,0.1255818175204455,2389395,0.002858464171892885,0.00041642340425086685,0.0030530741045327373,0.022710769881078684,0.0020590986421248894,0.029582802341178417,0.0032225730781222863,0.04480841384534579,0.0006989216935667815,0.0009060871057317857,0.8896833717321749
Kansas,14930,1995,18810,62700,6100,121130,8985,204505,1410,1981040,4310,2185545,1740660,0.12180584018977475,2185535,0.006831279297746318,0.0009128199731415878,0.008606588318192113,0.028688627727307042,0.0027910786146183885,0.05542350042438122,0.004111121533171512,0.0935720544397596,0.0006451509584609718,0.0019720571850828286,0.7964457215281384
Kentucky,6635,1790,14335,44420,6305,260775,12855,93135,1445,3318650,4310,3411785,2965780,0.06960491620844456,3411785,0.0019447298115209486,0.0005246520516386583,0.004201612938681658,0.013019577728373857,0.0018480062489283468,0.07643359707601739,0.00376782241553908,0.027298027278975668,0.00042353196347366554,0.001263268347800345,0.8692751741390504
Louisiana,19190,3270,13020,63800,5295,1084310,9755,161845,865,3388885,5265,3550730,2184120,0.00014650778762331784,3550735,0.005404514839885263,0.0009209360878803966,0.0036668464416522214,0.017968110827758198,0.001491240545971468,0.3053762108408541,0.0027473185129276052,0.04558070371345651,0.00024361153395001316,0.0014827915910367853,0.6151177150646274
Maine,5920,250,8510,11590,2540,10195,1890,13700,175,1059630,1080,1073330,1017480,0.06414255335136271,1073330,0.005515545079332544,0.00023291997801235407,0.007928596051540534,0.010798170180652735,0.0023664669766055176,0.009498476703343799,0.001760875033773397,0.012764014795077003,0.00016304398460864785,0.0010062143050133697,0.9479656769120401
Maryland,9725,8745,11775,297325,19095,1345295,20445,383715,2005,4264750,16540,4648465,2533785,0.0799102304425009,4648450,0.0020920952145338768,0.0018812722520410029,0.0025331024319934603,0.06396218094203444,0.00410782088653207,0.2894072217620927,0.0043982402736396,0.08254687046219708,0.00043132657122266563,0.003558175305747077,0.545081693897966
Massachusetts,7155,3800,14120,342930,19855,353355,21245,520630,1800,4885160,9385,5405785,4111515,0.07975409454852367,5405790,0.001323580827224143,0.0007029499851085595,0.002612014155192858,0.06343753641928376,0.0036729136721922236,0.06536602420737765,0.003930045377271407,0.09630969756501825,0.0003329763087356335,0.0017361014763799555,0.7605761600062155
Michigan,34660,10355,42155,225080,21270,1015940,32880,305640,1920,7411405,14860,7717045,6012285,0.037764296073527936,7717045,0.0044913564712917966,0.0013418348603642975,0.005462583151970735,0.02916660457467852,0.0027562363573103437,0.13164883708725295,0.004260698233585524,0.0396058335800815,0.00024879989685170945,0.0019256075350085429,0.7790916082516041
Minnesota,36685,2230,21205,184070,13325,211495,17710,173215,1340,4031170,7535,4204390,3535575,0.10994879403692998,4204385,0.008725414061747438,0.0005303986195365077,0.00504354382388863,0.04378048156864797,0.0031693101369165764,0.050303433201288654,0.004212268857395314,0.04119865331076959,0.00031871486555108534,0.0017921765014383792,0.8409256050528199
Mississippi,8920,1255,4910,22840,2545,810585,3720,57170,525,2202750,2125,2259920,1345320,0.006282288466122499,2259915,0.003947051105904426,0.0005553306208419343,0.002172648086321831,0.010106574804804605,0.001126148549834839,0.3586794193586927,0.0016460796091888412,0.025297411628313456,0.0002323096222645542,0.0009403008520231955,0.5952967257618096
Missouri,18460,3725,28595,88915,11720,513390,15740,154075,4115,4531815,8855,4685890,3838295,0.06367612206588519,4685885,0.003939490619167991,0.0007949405501842234,0.006102369136246408,0.018975070877753082,0.0025011283887675434,0.10956094739841034,0.0033590239623891753,0.03288066181735147,0.0008781692252370683,0.0018897177374177984,0.8191184802870749
Montana,42000,225,9335,6145,1975,3350,1270,23110,430,780595,1330,803705,714545,0.09972948322912184,803715,0.052257330023702434,0.00027994998226983447,0.011614813708839575,0.007645745071325034,0.002457338733257436,0.00416814418046198,0.0015801621221452878,0.028753973734470552,0.0005350155216712392,0.001654815450750577,0.8890527114711061
Nebraska,8575,1255,6330,31580,3920,61480,3685,118465,1130,1305640,2205,1424100,1185470,0.04267718029192574,1424095,0.006021367956491667,0.0008812614326993635,0.004444928182459737,0.02217548688816406,0.0027526253515390477,0.043171277197097103,0.002587608270515661,0.08318616384440644,0.0007934863896018173,0.0015483517602407142,0.8324374427267843
Nevada,19085,1810,9930,192180,15375,181870,9430,541145,13435,1676580,16210,2217725,1217255,0.02917983495709714,2217725,0.008605665715992741,0.0008161516869765187,0.004477561465014824,0.08665637083046816,0.0069327802139579975,0.0820074626024417,0.004252105197894238,0.24400906334193825,0.006058009897530126,0.007309292180049375,0.548875536867736
New Hampshire,1445,420,5680,26295,2950,12020,2100,30235,210,1037755,1235,1067990,985405,0.11445948983233534,1067995,0.0013530025889634315,0.0003932602680724161,0.005318376958693627,0.02462090178324805,0.0027621852162229223,0.011254734338643907,0.0019663013403620803,0.028310057631355953,0.00019663013403620804,0.0011563724549272234,0.9226681772854742
New Jersey,7225,6000,11085,662540,17860,880845,20120,1251055,1770,5709285,15465,6960340,4086375,0.05010881091733432,6960340,0.0010380240045744892,0.0008620268550099564,0.0015925946146308945,0.09518787875304942,0.002565966605079637,0.12655200751687418,0.0028906633871333873,0.1797405011824135,0.00025429792222793715,0.0022218742187881625,0.5870941649402185
New Mexico,131300,1400,7585,23450,4970,29600,2765,706790,790,880310,2430,1587100,676020,0.10086502928365498,1587100,0.08272950664734421,0.0008821120282275849,0.004779156952933022,0.014775376472812048,0.0031314977002079264,0.018650368596811795,0.0017421712557494802,0.4453342574506962,0.000497763215928423,0.0015310944489950224,0.42594669523029427
New York,36950,14225,30850,1358200,51265,2235645,48885,2706690,6995,12888235,37170,15594925,9068055,0.036417992057867,15594930,0.0023693597855200376,0.0009121554248720578,0.0019782070198455523,0.08709240759657146,0.0032872863167708994,0.14335716800267778,0.003134672614753641,0.17356217693827417,0.00044854321244147937,0.0023834669344460027,0.5814745561538269
North Carolina,82840,12035,27605,204695,17465,1616315,27955,558370,4030,7204515,16780,7762880,5194795,0.02341249014820368,7762885,0.010671290377224446,0.001550325684329988,0.0035560233083447713,0.02636841844237033,0.0022498079000268585,0.20821060726778767,0.0036011096390066322,0.07192815557618076,0.0005191368930494268,0.0021615675100172165,0.6691835574016619
North Dakota,24440,55,4615,8095,1350,12115,1155,15835,260,559270,860,575105,506325,0.0858910391774168,575105,0.042496587579659365,9.563471018335783e-05,0.008024621590839933,0.014075690526077846,0.0023473974317733282,0.02106571843402509,0.002008328913850514,0.02753410246824493,0.0004520913572304188,0.0014953791046852314,0.88040444788343
Ohio,14140,8280,35580,185560,20940,1038225,49290,261545,2325,8721045,14910,8982590,7351790,0.025923111547092814,8982585,0.001574157105109498,0.000921783651365392,0.003960997864200562,0.020657750525043737,0.0023311774951197232,0.11558198447328914,0.005487284562294707,0.02911689675076829,0.00025883417746673146,0.0016598785316253618,0.8184492548637169
Oklahoma,195425,11210,121390,62510,8590,206580,10405,237700,3480,2702280,7660,2939975,2075025,0.10249046363049896,2939975,0.0664716536705244,0.003812957593176813,0.041289466747166215,0.021262085561952058,0.002921793552666264,0.07026590362162943,0.003539145741035213,0.08085102764479289,0.0011836835347239347,0.0026054643321796953,0.705796818000153
Oregon,26965,1430,39065,134270,21375,54280,9350,320830,10620,2840045,13855,3160870,2528835,0.09141937811525469,3160875,0.008530865662197967,0.0004524063748170997,0.012358919602958042,0.04247874401866572,0.006762368015185668,0.017172460157393127,0.002958041681496421,0.10150037568711195,0.00335982916122909,0.004383279946217424,0.8000427096927275
Pennsylvania,11950,8750,22350,327160,21490,1018660,37115,570980,2180,9530610,16235,10101590,8064715,0.054762477512291796,10101585,0.0011829826705413062,0.0008662007001871488,0.0022125240741923172,0.03238699669408315,0.0021273889196596375,0.10084160060030184,0.0036741758842795463,0.056523802947755226,0.00021580771730376965,0.00160717352771867,0.7983613462639774
Rhode Island,3020,1850,2460,28425,2580,45090,3550,103540,630,742015,1630,845555,652780,0.13392501881370666,845555,0.0035716186410109335,0.0021879120814139825,0.0029093317406910253,0.03361697346713106,0.0030512503621881485,0.05332592202754404,0.004198425885956561,0.12245211724843447,0.0007450727628598967,0.00192772794200259,0.7720136478407673
South Carolina,10795,4170,14645,56610,8250,994440,10580,171240,1975,3631245,4915,3802490,2524865,-0.02123724815380662,3802485,0.0028389329609452767,0.0010966512688412972,0.003851428736734004,0.014887632692831136,0.002169633805261559,0.26152371409749153,0.0027823909890505815,0.04503370821975629,0.0005193971836838278,0.0012925757761043108,0.6640039342693002
South Dakota,43775,255,7070,8440,1020,9430,1400,17410,305,627075,780,644485,554600,0.12321893813643281,644485,0.06792244970790631,0.0003956647555800368,0.010969999301768079,0.013095727596452982,0.0015826590223201472,0.014631837823999006,0.0021722770894590255,0.027013817233915452,0.0004732460802035734,0.0012102686641271712,0.8605320527242682
Tennessee,12585,3060,27070,85185,10685,813620,14700,205790,2490,4893945,6945,5099735,3917610,-0.19197800091899203,5099740,0.0024677728668520355,0.0006000305897947739,0.005308113746975336,0.0167037927423751,0.002095204853580771,0.1595414668198771,0.0028824998921513647,0.04035303760583873,0.0004882601858133944,0.0013618341327204916,0.7681979865640209
Texas,52550,15335,81095,952685,56295,2377745,44895,7120780,15480,13085715,34440,20206495,9455200,-0.09003828417480775,20206500,0.002600648306238092,0.0007589142107737609,0.004013312547942494,0.0471474525523965,0.0027859847078910253,0.11767228367109593,0.002221809813673818,0.3524004651968426,0.0007660901195159973,0.0017044020488456684,0.4679286368247841
Utah,19945,410,7425,53360,9640,20775,3785,251915,17370,1830615,7935,2082530,1689970,0.08703801629001767,2082530,0.009577293004182412,0.0001968759153529601,0.0035653748085261675,0.025622680105448662,0.00462898493659155,0.009975846686482307,0.0018175008283194,0.12096584442961206,0.008340816218733943,0.003810269239818874,0.8114985138269316
Vermont,1555,170,3915,7935,1105,5265,675,8100,140,496755,645,504855,475345,0.047451924496220155,504850,0.0030801228087550757,0.00033673368327225906,0.007754778647122908,0.01571753986332574,0.002188768941269684,0.010428840249579083,0.0013370308012280875,0.016044369614737052,0.0002773100921065663,0.0012776072100623948,0.9415568980885411
Virginia,14760,9130,21875,408800,39580,1210215,31650,507310,3750,5992365,20900,6499680,4231710,0.07247173393358403,6499680,0.00227088102798907,0.0014046845383157325,0.003365550304014967,0.0628954040814317,0.006089530561504566,0.18619608965364448,0.004869470497009084,0.07805153484479235,0.00057695148068828,0.003215542919036014,0.6510643600915738
Washington,59400,5165,55795,468300,53340,190825,29445,546405,32685,5008185,34675,5554590,4078555,0.09904119785003351,5554590,0.010693858592623399,0.000929861609947809,0.010044845794199031,0.08430865284386427,0.009602868978628486,0.03435447080702626,0.005301021317504983,0.0983699967054274,0.00588432269528444,0.006242584961266268,0.7342675156942277
West Virginia,2735,655,6685,11590,1815,51335,3695,18550,415,1441420,1625,1459975,1360870,-0.05106097594646597,1459970,0.0018733261642362514,0.0004486393556031973,0.004578861209476907,0.007938519284642835,0.0012431762296485544,0.03516168140441242,0.002530873922066892,0.012705740528914978,0.0002842524161455372,0.0011130365692445735,0.9321218929156079
Wisconsin,33675,2155,18200,109160,9735,249240,12855,231770,1395,4237495,5410,4469265,3795665,0.0947890659534888,4469260,0.00753480441952359,0.0004821827327119031,0.004072262522207256,0.0244246251057222,0.002178212948004815,0.05576762148543607,0.0028763150946689163,0.05185869696549317,0.00031213220980654514,0.0012104912222605083,0.849282655294165
Wyoming,7910,15,3520,3975,1240,4395,980,36995,360,407845,690,444840,384755,0.1346757119310562,444835,0.017781874178066023,3.372036822642103e-05,0.007913046410466803,0.008935897580001574,0.0027875504400508054,0.009880067890341362,0.0022030640574595074,0.0831656681690964,0.0008092888374341048,0.0015511369384153676,0.8649386851304416
